iter	Passed	Remaining
0	3	3201
1	6	3424
2	9	3266
3	14	3618
4	17	3497
5	19	3265
6	22	3239
7	25	3142
8	28	3161
9	31	3133
10	34	3118
11	37	3080
12	40	3039
13	42	2991
14	45	2991
15	47	2933
16	49	2871
17	51	2808
18	53	2776
19	55	2734
20	57	2665
21	59	2631
22	61	2605
23	63	2578
24	65	2546
25	67	2519
26	69	2498
27	71	2467
28	72	2438
29	74	2404
30	75	2361
31	77	2347
32	79	2323
33	80	2299
34	82	2274
35	84	2258
36	86	2239
37	87	2220
38	89	2204
39	91	2187
40	93	2176
41	94	2154
42	95	2128
43	97	2109
44	98	2090
45	99	2062
46	101	2060
47	103	2050
48	105	2038
49	106	2022
50	107	1999
51	109	1988
52	110	1976
53	112	1962
54	113	1948
55	114	1937
56	116	1934
57	118	1921
58	119	1912
59	121	1899
60	122	1889
61	124	1882
62	126	1874
63	127	1866
64	128	1855
65	130	1844
66	132	1840
67	134	1837
68	135	1831
69	137	1821
70	138	1812
71	140	1807
72	141	1802
73	143	1790
74	144	1783
75	146	1775
76	147	1771
77	149	1766
78	150	1757
79	152	1749
80	153	1743
81	155	1737
82	156	1734
83	157	1719
84	158	1708
85	160	1705
86	161	1696
87	163	1693
88	164	1683
89	165	1678
90	166	1666
91	168	1659
92	169	1650
93	170	1644
94	172	1641
95	173	1637
96	175	1632
97	176	1622
98	177	1619
99	179	1617
100	181	1612
101	182	1606
102	183	1602
103	185	1595
104	187	1594
105	188	1591
106	189	1584
107	191	1579
108	192	1576
109	194	1574
110	196	1572
111	197	1568
112	199	1565
113	201	1562
114	202	1559
115	204	1556
116	206	1555
117	207	1552
118	209	1549
119	210	1546
120	212	1543
121	214	1541
122	215	1537
123	217	1533
124	218	1531
125	220	1529
126	222	1528
127	223	1525
128	225	1521
129	226	1519
130	228	1516
131	229	1511
132	231	1509
133	233	1508
134	234	1505
135	236	1503
136	238	1502
137	239	1497
138	241	1494
139	241	1485
140	243	1485
141	245	1482
142	246	1478
143	248	1475
144	249	1472
145	251	1471
146	253	1468
147	254	1466
148	255	1460
149	257	1457
150	258	1453
151	260	1450
152	261	1447
153	262	1444
154	264	1440
155	265	1437
156	267	1437
157	268	1433
158	270	1430
159	271	1427
160	273	1425
161	275	1424
162	276	1422
163	278	1420
164	280	1419
165	282	1418
166	284	1417
167	285	1414
168	287	1412
169	288	1410
170	290	1408
171	292	1406
172	293	1403
173	295	1400
174	296	1398
175	298	1396
176	299	1394
177	301	1391
178	302	1388
179	304	1385
180	305	1384
181	307	1382
182	309	1380
183	310	1379
184	312	1376
185	313	1374
186	315	1370
187	316	1367
188	318	1364
189	319	1361
190	320	1359
191	322	1358
192	324	1356
193	326	1354
194	327	1351
195	328	1349
196	330	1348
